epoch,accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
1,0.8775884509086609,0.4928855001926422,0.9786128997802734,0.9628874659538269,0.8626233339309692,0.9476282000541687,0.7174839973449707,1.0353033542633057,0.959632933139801,0.7168998718261719,0.9970059990882874,0.9045076370239258,0.0010000000474974513
2,0.9266055226325989,0.3749658763408661,0.9913374185562134,0.9748743772506714,0.9214468598365784,0.9777169227600098,0.9019189476966858,0.4583549499511719,0.9814314842224121,0.8923705816268921,0.9805389046669006,0.9625858068466187,0.0010000000474974513
3,0.932110071182251,0.34464219212532043,0.9922183156013489,0.9765384793281555,0.9276580214500427,0.9811257123947144,0.8773987293243408,0.45287707448005676,0.9830743074417114,0.8576973080635071,0.992514967918396,0.9628521203994751,0.0010000000474974513
4,0.9407601356506348,0.30482664704322815,0.9944777488708496,0.9786503911018372,0.9378882050514221,0.9855202436447144,0.7910447716712952,0.5758417248725891,0.993752658367157,0.7737818956375122,0.9985029697418213,0.9867209196090698,0.0010000000474974513
5,0.939973771572113,0.29874205589294434,0.9931595921516418,0.9764437675476074,0.9389842748641968,0.9841963052749634,0.7590618133544922,0.8908985257148743,0.9930596351623535,1.0,0.6616766452789307,0.9797183275222778,0.0010000000474974513
6,0.9412844181060791,0.2811955213546753,0.9944251775741577,0.9786666631698608,0.9386188983917236,0.985339343547821,0.5373134613037109,2.043506145477295,0.9665136933326721,1.0,0.3502993881702423,0.901818573474884,0.0010000000474974513
7,0.9580602645874023,0.2428484410047531,0.9962654113769531,0.9838528037071228,0.9572524428367615,0.9902627468109131,0.7345415949821472,0.9390749931335449,0.952386200428009,0.7284623980522156,1.0,0.9366128444671631,0.0005000000237487257
8,0.9630406498908997,0.22003629803657532,0.9969565868377686,0.9865067601203918,0.9616368412971497,0.992764949798584,0.9744136333465576,0.19364622235298157,0.9982224106788635,0.9864048361778259,0.977544903755188,0.9952455759048462,0.0005000000237487257
9,0.9627785086631775,0.20494027435779572,0.99782794713974,0.9868667721748352,0.9609060883522034,0.9944080114364624,0.890191912651062,0.35883966088294983,0.9970589280128479,0.8673602342605591,0.9985029697418213,0.9946051836013794,0.0005000000237487257
10,0.963302731513977,0.20062018930912018,0.9977494478225708,0.9887090921401978,0.9598100185394287,0.9941849112510681,0.9637526869773865,0.2165004462003708,0.9968922734260559,0.9541547298431396,0.9970059990882874,0.9944499135017395,0.0005000000237487257
11,0.9690694808959961,0.18112729489803314,0.9984089136123657,0.9880730509757996,0.9685787558555603,0.9956958293914795,0.9029850959777832,0.34943604469299316,0.9918776750564575,0.8801053762435913,1.0,0.9892964959144592,0.0002500000118743628
12,0.9727391600608826,0.17576052248477936,0.9982172250747681,0.9899516105651855,0.971867024898529,0.9959923624992371,0.973347544670105,0.1683008223772049,0.9985888004302979,0.9834586381912231,0.9790419340133667,0.9961991906166077,0.0002500000118743628
13,0.9680209755897522,0.1825815886259079,0.9982341527938843,0.9902512431144714,0.9649251103401184,0.9955056309700012,0.7164179086685181,1.030977487564087,0.9492318630218506,0.7152034044265747,1.0,0.9230566620826721,0.0002500000118743628
14,0.9664482474327087,0.19076678156852722,0.9978585839271545,0.9865721464157104,0.9663865566253662,0.9944517612457275,0.9626865386962891,0.18966171145439148,0.9987280368804932,0.9906976819038391,0.9565868377685547,0.9966539144515991,0.0002500000118743628
15,0.9761468172073364,0.157659649848938,0.99900883436203,0.992920994758606,0.97369384765625,0.9973971247673035,0.9648187756538391,0.17805227637290955,0.9990628361701965,0.9953197836875916,0.955089807510376,0.9975243806838989,0.0002500000118743628
16,0.9748361706733704,0.16072627902030945,0.9989206790924072,0.9910747408866882,0.97369384765625,0.9972414970397949,0.8997867703437805,0.3800382912158966,0.9976810812950134,1.0,0.8592814207077026,0.9933133721351624,0.0002500000118743628
17,0.9764088988304138,0.15142260491847992,0.9989938735961914,0.9929236769676208,0.9740591645240784,0.9972319602966309,0.9029850959777832,0.36109885573387146,0.9979651570320129,1.0,0.863772451877594,0.9942087531089783,0.0002500000118743628
18,0.9813892245292664,0.1388612538576126,0.9993688464164734,0.9940696954727173,0.9799050092697144,0.9983066916465759,0.9765458703041077,0.1460992842912674,0.9991053938865662,0.9908814430236816,0.976047933101654,0.9975603818893433,0.0001250000059371814
19,0.9798164963722229,0.13985730707645416,0.9992839097976685,0.995529055595398,0.9762513637542725,0.9980356097221375,0.9712153673171997,0.18290941417217255,0.9957723617553711,0.9651669263839722,0.9955089688301086,0.9933521747589111,0.0001250000059371814
